RecID,Filename,Duration,Keywords,SampleRate,BitDepth,Channels
1,CK_Aiming-01.wav,00:01.4,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
2,CK_Aiming-02.wav,00:04.8,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
3,CK_Aiming-03.wav,00:00.8,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
4,CK_Aiming-04.wav,00:01.8,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
5,CK_Aiming-05.wav,00:01.0,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
6,CK_Aiming-06.wav,00:00.5,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
7,CK_Aiming-07.wav,00:00.9,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
8,CK_Aiming-08.wav,00:00.3,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
9,CK_Aiming-09.wav,00:00.5,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
10,CK_Aiming-10.wav,00:00.8,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
11,CK_Aiming-11.wav,00:00.7,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
12,CK_Aiming-12.wav,00:00.9,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
13,CK_Aiming-13.wav,00:00.9,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
14,CK_Aiming-14.wav,00:00.7,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
15,CK_Aiming-15.wav,00:00.6,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
16,CK_Aiming-16.wav,00:01.3,"sci-fi, futuristic, weapon, gun, zoom, aim, scope, sniper, rifle",48000,24,1
17,CK_Blaster_Shot-01.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
18,CK_Blaster_Shot-02.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
19,CK_Blaster_Shot-03.wav,00:01.2,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
20,CK_Blaster_Shot-04.wav,00:01.3,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
21,CK_Blaster_Shot-05.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
22,CK_Blaster_Shot-06.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
23,CK_Blaster_Shot-07.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
24,CK_Blaster_Shot-08.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
25,CK_Blaster_Shot-09.wav,00:01.2,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
26,CK_Blaster_Shot-10.wav,00:01.2,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
27,CK_Blaster_Shot-100.wav,00:02.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
28,CK_Blaster_Shot-101.wav,00:01.1,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
29,CK_Blaster_Shot-102.wav,00:01.2,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
30,CK_Blaster_Shot-103.wav,00:01.6,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
31,CK_Blaster_Shot-104.wav,00:01.1,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
32,CK_Blaster_Shot-105.wav,00:01.0,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
33,CK_Blaster_Shot-106.wav,00:00.9,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
34,CK_Blaster_Shot-107.wav,00:01.2,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
35,CK_Blaster_Shot-108.wav,00:01.1,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
36,CK_Blaster_Shot-109.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
37,CK_Blaster_Shot-11.wav,00:01.2,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
38,CK_Blaster_Shot-110.wav,00:01.2,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
39,CK_Blaster_Shot-111.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
40,CK_Blaster_Shot-112.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
41,CK_Blaster_Shot-113.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
42,CK_Blaster_Shot-114.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
43,CK_Blaster_Shot-115.wav,00:01.0,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
44,CK_Blaster_Shot-116.wav,00:01.8,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
45,CK_Blaster_Shot-117.wav,00:01.3,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
46,CK_Blaster_Shot-118.wav,00:01.2,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
47,CK_Blaster_Shot-119.wav,00:01.6,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
48,CK_Blaster_Shot-12.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
49,CK_Blaster_Shot-120.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
50,CK_Blaster_Shot-121.wav,00:01.6,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
51,CK_Blaster_Shot-122.wav,00:01.6,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
52,CK_Blaster_Shot-123.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
53,CK_Blaster_Shot-124.wav,00:01.7,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
54,CK_Blaster_Shot-125.wav,00:01.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
55,CK_Blaster_Shot-126.wav,00:01.6,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
56,CK_Blaster_Shot-127.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
57,CK_Blaster_Shot-128.wav,00:00.8,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
58,CK_Blaster_Shot-129.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
59,CK_Blaster_Shot-13.wav,00:01.8,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
60,CK_Blaster_Shot-130.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
61,CK_Blaster_Shot-131.wav,00:00.9,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
62,CK_Blaster_Shot-132.wav,00:01.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
63,CK_Blaster_Shot-133.wav,00:01.1,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
64,CK_Blaster_Shot-134.wav,00:01.1,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
65,CK_Blaster_Shot-135.wav,00:02.5,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
66,CK_Blaster_Shot-136.wav,00:02.4,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
67,CK_Blaster_Shot-137.wav,00:01.0,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
68,CK_Blaster_Shot-138.wav,00:00.8,"sci-fi, futuristic, weapon, gun, blaster, laser, pistol, shot, rifle",48000,24,2
